어휘,품사,전체 빈도
부여,일반명사,3
가닥,일반명사,3
없애,동사,3
큐비트,고유명사,3
연산,일반명사,3
알고리즘,일반명사,3
분해,일반명사,3
앨런 튜링,고유명사,3
색,일반명사,3
섀넌,고유명사,3
판단,일반명사,3
가라앉,동사,3
주,동사,3
축하,일반명사,3
학습,일반명사,3
사후,일반명사,3
청개구리,일반명사,3
아우구스티누스,고유명사,3
공포,일반명사,3
노자,고유명사,3
비트겐슈타인,고유명사,3
울림,일반명사,3
그리스,고유명사,3
리벳,고유명사,3
몫,일반명사,3
통,일반명사,3
탑,일반명사,3
개인,일반명사,3
공명,일반명사,3
지각,일반명사,3
젊,형용사,3
흘러가,동사,3
원칙,일반명사,3
국악,일반명사,3
울리,동사,3
머무르,동사,3
긴장,일반명사,3
귀,일반명사,3
슬픔,일반명사,3
셰익스피어,고유명사,3
햄릿,고유명사,3
정화,일반명사,3
미술,일반명사,3
편안,일반명사,3
성당,일반명사,3
산수화,일반명사,3
음계,일반명사,3
지붕,일반명사,3
돔,일반명사,3
착시,일반명사,3
밑,일반명사,3
시인,일반명사,3
늙,동사,3
소년,일반명사,3
식물,일반명사,3
기원전,일반명사,2
여기저기,일반명사,2
뜨,동사,2
섬,일반명사,2
소수,일반명사,2
관하,동사,2
최소한,일반명사,2
양쪽,일반명사,2
직각,일반명사,2
내각,일반명사,2
뒤집히,동사,2
가지,일반명사,2
정직,일반명사,2
대지,일반명사,2
표현,일반명사,2
나타내,동사,2
무,일반명사,2
르네 데카르트,고유명사,2
복소수,일반명사,2
실용,일반명사,2
전력,일반명사,2
망,일반명사,2
덧붙이,동사,2
기원,일반명사,2
호킹,고유명사,2
특이점,일반명사,2
허,일반명사,2
추월,일반명사,2
제논,고유명사,2
마디,일반명사,2
고대,일반명사,2
미적분,일반명사,2
좁히,동사,2
성채,일반명사,2
목표,일반명사,2
항,일반명사,2
총합,일반명사,2
결말,일반명사,2
속살,일반명사,2
절반,일반명사,2
대응,일반명사,2
두려워하,동사,2
최고,일반명사,2
힐베르트,고유명사,2
물,동사,2
산술,일반명사,2
시야,일반명사,2
서술,일반명사,2
엮,동사,2
가하,동사,2
겉모습,일반명사,2
군,일반명사,2
정돈,일반명사,2
원고,일반명사,2
출판,일반명사,2
패러다임,일반명사,2
장소,일반명사,2
차별,일반명사,2
쓰러지,동사,2
한,일반명사,2
곡률,고유명사,2
차지,일반명사,2
비행기,일반명사,2
훼손,일반명사,2
내포,일반명사,2
비눗방울,일반명사,2
리만,고유명사,2
운행,일반명사,2
온기,일반명사,2
떨어뜨리,동사,2
하나하나,일반명사,2
루트비히,고유명사,2
거세,형용사,2
고립,일반명사,2
발표,일반명사,2
장,고유명사,2
묘비,일반명사,2
바둑알,일반명사,2
구석,일반명사,2
흔하,형용사,2
몰리,동사,2
천문학,일반명사,2
별도,일반명사,2
종착지,일반명사,2
평형,일반명사,2
꼭대기,일반명사,2
소모,일반명사,2
배출,일반명사,2
성,일반명사,2
저항,일반명사,2
계,일반명사,2
펼치,동사,2
정점,일반명사,2
당구,일반명사,2
토끼,일반명사,2
번식,일반명사,2
뒤섞이,동사,2
확대,일반명사,2
아끼,동사,2
나비,일반명사,2
비유,일반명사,2
메우,동사,2
예보,일반명사,2
늪,일반명사,2
달하,동사,2
박동,일반명사,2
시스템,일반명사,2
공통,일반명사,2
출구,일반명사,2
특수,일반명사,2
금,일반명사,2
쫓,동사,2
달아나,동사,2
등식,일반명사,2
강요,일반명사,2
기차,일반명사,2
승객,일반명사,2
앞쪽,일반명사,2
수명,일반명사,2
일관,일반명사,2
응축,일반명사,2
한참,일반명사,2
지방,일반명사,2
호박,일반명사,2
천,일반명사,2
먼지,일반명사,2
취급,일반명사,2
마찰,일반명사,2
쇠,일반명사,2
나침반,일반명사,2
별개,일반명사,2
날아가,동사,2
그물,일반명사,2
전기장,일반명사,2
자기장,일반명사,2
유도,일반명사,2
전자기장,고유명사,2
불꽃,일반명사,2
튀,동사,2
깔리,동사,2
수동,일반명사,2
주석,일반명사,2
붙들리,동사,2
밀려나,동사,2
천상,일반명사,2
돌멩이,일반명사,2
